sample_index,observed,AR(3),MA(2),"ARMA(3,2)","ARIMA(3,1,2)",Training-mean baseline
1821,980.0,1089.0848121778047,1026.0380355563846,1011.3468654772729,1081.5780506286223,1026.0311111111112
1822,982.0,1088.6543932556433,1026.0380355563846,1008.8648453468069,1087.5013168323956,1026.0311111111112
1823,985.0,1085.1668225965448,1026.0380355563846,1009.297248487152,1095.6604846680093,1026.0311111111112
1824,984.0,1079.1744143474862,1026.0380355563846,1012.0656371918045,1104.5961466174688,1026.0311111111112
1825,984.0,1071.2840439497436,1026.0380355563846,1016.4177249824693,1112.9608573335356,1026.0311111111112
1826,985.0,1062.1204765478496,1026.0380355563846,1021.543179199506,1119.6879594881093,1026.0311111111112
1827,985.0,1052.2933801348115,1026.0380355563846,1026.6774565174228,1124.0964026319778,1026.0311111111112
1828,983.0,1042.3691887659475,1026.0380355563846,1031.183443870371,1125.9267173096723,1026.0311111111112
1829,983.0,1032.8485973048,1026.0380355563846,1034.604942193624,1125.3135163305358,1026.0311111111112
1830,981.0,1024.1500946119775,1026.0380355563846,1036.6903001847395,1122.7078331460255,1026.0311111111112
1831,980.0,1016.5995941322067,1026.0380355563846,1037.3882788709084,1118.7675209638612,1026.0311111111112
1832,983.0,1010.4259132963003,1026.0380355563846,1036.8211436911836,1114.2356023376474,1026.0311111111112
1833,983.0,1005.7615961426443,1026.0380355563846,1035.2418369022919,1109.8251351652284,1026.0311111111112
1834,981.0,1002.6483734404959,1026.0380355563846,1032.9828342973792,1106.1254782022788,1026.0311111111112
1835,985.0,1001.0464141350166,1026.0380355563846,1030.4040281929113,1103.5396585738433,1026.0311111111112
1836,983.0,1000.8464406195501,1026.0380355563846,1027.845898900063,1102.2568037087783,1026.0311111111112
1837,985.0,1001.8837548138707,1026.0380355563846,1025.592598976033,1102.2581752930014,1026.0311111111112
1838,984.0,1003.9532465993127,1026.0380355563846,1023.8476611623083,1103.3509332633832,1026.0311111111112
1839,985.0,1006.824523385903,1026.0380355563846,1022.7231210684798,1105.220818698286,1026.0311111111112
1840,984.0,1010.2564008430533,1026.0380355563846,1022.241145361192,1107.493660016533,1026.0311111111112
1841,983.0,1014.0101208918719,1026.0380355563846,1022.3459389909858,1109.795905886396,1026.0311111111112
1842,984.0,1017.8608046381783,1026.0380355563846,1022.9228628744119,1111.8059919454574,1026.0311111111112
1843,982.0,1021.6067961187468,1026.0380355563846,1023.8213478429311,1113.2908401943564,1026.0311111111112
1844,983.0,1025.0766994198025,1026.0380355563846,1024.8783013134096,1114.1246932704444,1026.0311111111112
1845,985.0,1028.1340498719835,1026.0380355563846,1025.9391828549417,1114.290339029289,1026.0311111111112
1846,987.0,1030.6796838918433,1026.0380355563846,1026.8746573833778,1113.8651984268336,1026.0311111111112
1847,987.0,1032.6519773057908,1026.0380355563846,1027.5915931490508,1112.9964639177902,1026.0311111111112
1848,985.0,1034.0252057912057,1026.0380355563846,1028.0380349361008,1111.8703558289674,1026.0311111111112
1849,987.0,1034.806341948125,1026.0380355563846,1028.202549030431,1110.6806142770388,1026.0311111111112
1850,987.0,1035.0306413296,1026.0380355563846,1028.108931563384,1109.6006818065391,1026.0311111111112
1851,987.0,1034.756385519208,1026.0380355563846,1027.8076539043998,1108.7628551609712,1026.0311111111112
1852,986.0,1034.0591460200098,1026.0380355563846,1027.3655777332515,1108.246232738844,1026.0311111111112
1853,986.0,1033.0259110238867,1026.0380355563846,1026.8554259351863,1108.0737986014215,1026.0311111111112
1854,984.0,1031.7493812944208,1026.0380355563846,1026.346282394158,1108.2176741293165,1026.0311111111112
1855,984.0,1030.3226949451512,1026.0380355563846,1025.896066171582,1108.6105886126854,1026.0311111111112
1856,990.0,1028.8347874366702,1026.0380355563846,1025.5465404626584,1109.1610556838848,1026.0311111111112
1857,993.0,1027.3665361549904,1026.0380355563846,1025.321028596485,1109.7696089884232,1026.0311111111112
1858,992.0,1025.9877817103654,1026.0380355563846,1025.2246641613567,1110.3437015972336,1026.0311111111112
1859,995.0,1024.7552634602903,1026.0380355563846,1025.246733555223,1110.809417100435,1026.0311111111112
1860,996.0,1023.7114570804488,1026.0380355563846,1025.364495950547,1111.1188573735353,1026.0311111111112
1861,996.0,1022.8842591119311,1026.0380355563846,1025.5477926019691,1111.2528378474383,1026.0311111111112
1862,997.0,1022.2874285693752,1026.0380355563846,1025.7637768694372,1111.2192229237514,1026.0311111111112
1863,993.0,1021.9216696158263,1026.0380355563846,1025.9811909545754,1111.0477848820399,1026.0311111111112
1864,991.0,1021.7762221888693,1026.0380355563846,1026.1737618383488,1110.782816029428,1026.0311111111112
1865,994.0,1021.830819026675,1026.0380355563846,1026.3224616629518,1110.4748488733012,1026.0311111111112
1866,994.0,1022.0578671260793,1026.0380355563846,1026.416552306204,1110.172758739801,1026.0311111111112
1867,994.0,1022.4247182897708,1026.0380355563846,1026.4534894205742,1109.9172793953378,1026.0311111111112
1868,996.0,1022.8959058832996,1026.0380355563846,1026.4378826155123,1109.7366129782183,1026.0311111111112
1869,998.0,1023.4352418843912,1026.0380355563846,1026.3797870747871,1109.6444248339017,1026.0311111111112
