,observed,trend,seasonal,residual
0,1008.0,1012.6946120884268,-5.219068413741554,0.5244563253147883
1,1008.0,1012.7795554488857,-1.005728787125884,-3.7738266617598466
2,1008.0,1012.8644988093448,3.7592775061564563,-8.623776315501265
3,1008.0,1012.9494421698038,10.076783799438742,-15.026225969242516
4,1008.0,1013.0343855302629,16.615123426054396,-21.64950895631725
5,1008.0,1013.1193288907218,20.599018608225613,-25.71834749894743
6,1008.0,1013.2042722511809,23.362080457063506,-28.566352708244402
7,1008.0,1013.2892156116399,22.570142305901435,-27.859357917541296
8,1009.0,1013.3741589720988,18.444870821405978,-22.819029793504804
9,1009.0,1013.4591023325579,11.430432670243839,-15.889535002801743
10,1006.0,1013.5440456930169,2.859605630192867,-10.403651323209736
11,1011.0,1013.628989053476,-3.82372140985811,1.1947323563821621
12,1013.0,1013.7139324139349,-11.286492894353556,10.572560480418643
13,1014.0,1013.798875774394,-16.528986601071214,16.730110826677222
14,1014.0,1013.883819134853,-19.328146974455578,19.44432783960262
15,1011.0,1013.9687624953119,-20.794251792284328,17.825489296972407
16,1010.0,1014.053705855771,-19.92757883233535,15.87387297656435
17,1009.0,1014.13864921623,-18.61590587238632,13.477256656156356
18,1008.0,1014.223592576689,-17.414232912437356,11.190640335748313
19,1008.0,1014.308535937148,-16.211726619155044,9.903190682007036
20,1007.0,1014.3934792976071,-16.56449810365045,9.171018806043364
21,1007.0,1014.478422658066,-16.250602921479253,8.772180263413201
22,1005.0,1014.563366018525,-16.713929961530226,7.15056394300521
23,1009.0,1014.6483093789841,-16.288923668247946,10.640614289263851
24,1010.0,1014.7332527394431,-15.753917374965583,11.020664635522524
25,1011.0,1014.8181960999021,-14.77391108168325,10.955714981781112
26,1012.0,1014.9031394603611,-14.678071455067618,11.774931994706515
27,1010.0,1014.9880828208202,-13.685009606229798,8.696926785409616
28,1009.0,1015.0730261812791,-13.233336646280721,7.160310465001574
29,1009.0,1015.1579695417381,-12.205552575220638,6.0475830334825265
30,1008.0,1015.2429129021972,-12.041657393049457,4.7987444908522665
31,1009.0,1015.3278562626562,-9.961095544211558,3.6332392815554027
32,1010.0,1015.4127996231152,-8.073033695373628,2.660234072258394
33,1012.0,1015.4977429835742,-5.601082957646874,2.103339974072675
34,1011.0,1015.5826863440332,-3.663021108808927,-0.9196652352242367
35,1013.0,1015.6676297044922,0.17615185114000598,-2.843781555632248
36,1013.0,1015.7525730649512,4.12393592220016,-6.876508987151367
37,1014.0,1015.8375164254103,10.165331104371385,-12.00284752978167
38,1014.0,1015.9224597858693,16.62200406432038,-18.54446385018963
39,1014.0,1016.0074031463283,23.152288135380438,-25.159691281708767
40,1012.0,1016.0923465067873,26.86590553977392,-30.958252046561213
41,1011.0,1016.1772898672463,29.656745166389527,-34.834035033635786
42,1011.0,1016.2622332277053,29.19841812633856,-34.4606513540439
43,1008.0,1016.3471765881643,24.499813308509765,-32.84698989667407
44,1011.0,1016.4321199486234,17.68148626845877,-23.11360621708215
45,1011.0,1016.5170633090823,10.86010367285223,-16.377166981934575
46,1012.0,1016.6020066695414,2.4839988550233594,-7.086005524564784
47,1013.0,1016.6869500300004,-4.444050407249788,0.7571003772493992
48,1013.0,1016.7718933904594,-9.814044113967515,6.042150723508161
49,1014.0,1016.8568367509184,-13.184593376240695,10.327756625322262
50,1014.0,1016.9417801113774,-14.779587082958393,11.837806971580996
51,1011.0,1017.0267234718365,-15.042636345231577,9.0159128733951
52,1011.0,1017.1116668322954,-15.750407829727077,9.638740997431636
53,1012.0,1017.1966101927545,-14.125679314222468,8.929069121467949
54,1014.0,1017.2815535532135,-12.501506354273442,9.219952801059957
