model,order,RSS,RMSE,MAE,train_AIC,train_BIC
MA(2),"(0, 0, 2)",4695514.146689498,62.55340482799143,47.35099659469241,15355.07335841242,15377.055526187956
Training-mean baseline,baseline,4701106.35703704,62.59064331722594,47.415714814814855,,
"ARMA(3,2)","(3, 0, 2)",4736041.486830607,62.82277643518715,47.55993820710715,9277.485101455266,9315.953895062456
AR(3),"(3, 0, 0)",4820742.609555388,63.382059827389824,47.71773845544438,9832.754917967788,9860.23262768721
"ARIMA(3,1,2)","(3, 1, 2)",18865419.10549453,125.38414009719135,122.64218105188003,9344.060275515149,9377.030192918852
