model,accuracy,precision_weighted,recall_weighted,f1_weighted
GMM (83 features),0.8916666666666667,0.8997381335221849,0.8916666666666667,0.8871670461772739
"GMM (PCA, 20 PCs)",0.8966666666666666,0.9094181626854175,0.8966666666666666,0.8927903173377998
