experiment,split_mode,wavelet,fft_branch,best_epoch,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted
group_baseline,group,False,False,13,0.8796169630642955,0.8816193289159794,0.8796169630642955,0.8764204623499063
group_wavelet,group,True,False,13,0.8816689466484268,0.882855488859483,0.8816689466484268,0.8785911575699589
group_fft,group,False,True,12,0.9110807113543091,0.9117673119694364,0.9110807113543091,0.9104877004558398
group_wavelet_fft,group,True,True,14,0.9165526675786594,0.9178059619431956,0.9165526675786593,0.9161051427745218
window_wavelet_fft,window,True,True,23,0.9465703971119134,0.9473040091557958,0.9465703971119135,0.9466490628480717
