model,accuracy,precision_weighted,recall_weighted,f1_weighted,inertia
K-Means (83 features),0.8644444444444445,0.8740575844129119,0.8644444444444445,0.8583700839466446,106874.79065029547
"K-Means (PCA, 20 PCs)",0.8644444444444445,0.8740575844129119,0.8644444444444445,0.8583700839466446,92282.85168695796
