model,space,accuracy,precision_weighted,recall_weighted,f1_weighted
GMM,PCA (20 PCs),0.8966666666666666,0.9094181626854175,0.8966666666666666,0.8927903173377998
GMM,83 features,0.8916666666666667,0.8997381335221849,0.8916666666666667,0.8871670461772739
Agglomerative (Ward),PCA (20 PCs),0.8772222222222222,0.8844869713988179,0.8772222222222222,0.8753856076485964
K-Means,83 features,0.8644444444444445,0.8740575844129119,0.8644444444444445,0.8583700839466446
K-Means,PCA (20 PCs),0.8644444444444445,0.8740575844129119,0.8644444444444445,0.8583700839466446
Agglomerative (Ward),83 features,0.7783333333333333,0.8452806849069808,0.7783333333333333,0.7619341718989014
