space,linkage,accuracy,precision_weighted,recall_weighted,f1_weighted,cluster_0_size,cluster_1_size,cluster_2_size,largest_cluster_share
83 features,ward,0.7783333333333333,0.8452806849069808,0.7783333333333333,0.7619341718989014,600,938,262,0.5211111111111111
83 features,complete,0.3433333333333333,0.7789001122334456,0.3433333333333333,0.1876163781960641,1782,11,7,0.99
83 features,average,0.3383333333333333,0.44506517690875236,0.3383333333333333,0.17721623348517013,1790,9,1,0.9944444444444445
83 features,single,0.33444444444444443,0.7779013718946979,0.33444444444444443,0.1690241960739144,1798,1,1,0.9988888888888889
PCA (20 PCs),ward,0.8772222222222222,0.8844869713988179,0.8772222222222222,0.8753856076485964,570,499,731,0.4061111111111111
PCA (20 PCs),complete,0.3655555555555556,0.6781989452841655,0.3655555555555556,0.23154540568252324,49,1735,16,0.9638888888888889
PCA (20 PCs),average,0.34,0.7785234899328859,0.34,0.18064798877746574,10,2,1788,0.9933333333333333
PCA (20 PCs),single,0.335,0.7779632721202003,0.335,0.17019936250728018,1797,1,2,0.9983333333333333
